abhorring	abhor /?b'h?:/  ngo?i d?ng t? ghê t?m; ghét cay ghét d?ng
abhors	abhor /?b'h?:/  ngo?i d?ng t? ghê t?m; ghét cay ghét d?ng
abidance	abidance /?'baid?ns/  danh t? s? tôn tr?ng, s? tuân theo, s? thi hành dúng abidance by rules  s? tôn tr?ng lu?t l?, s? tuân theo lu?t l? (  in) s? t?n t?i; s? kéo dài
abide	abide /?'baid/  n?i d?ng t? (abode; abode,  abide) t?n t?i; kéo dài this mistake will not abide for ever  sai l?m này s? không th? kéo dài mãi du?c (  by) tôn tr?ng, gi?, tuân theo, ch?u theo; trung thành v?i to abide by one's friend  trung thành v?i b?n (t? c?,nghia c?) ?, ng? t?i to abide with somebody  ? v?i ai  ngo?i d?ng t? ch?, ch? d?i to abide one's time  ch? th?i co ch?u d?ng, ch?u we can't abide his fits of temper  chúng tôi không th? ch?u du?c nh?ng con nóng gi?n c?a h?n ch?ng d? du?c (cu?c t?n công)
abided	abide /?'baid/  n?i d?ng t? (abode; abode,  abide) t?n t?i; kéo dài this mistake will not abide for ever  sai l?m này s? không th? kéo dài mãi du?c (  by) tôn tr?ng, gi?, tuân theo, ch?u theo; trung thành v?i to abide by one's friend  trung thành v?i b?n (t? c?,nghia c?) ?, ng? t?i to abide with somebody  ? v?i ai  ngo?i d?ng t? ch?, ch? d?i to abide one's time  ch? th?i co ch?u d?ng, ch?u we can't abide his fits of temper  chúng tôi không th? ch?u du?c nh?ng con nóng gi?n c?a h?n ch?ng d? du?c (cu?c t?n công)
abider	abider xem abide
abides	abide /?'baid/  n?i d?ng t? (abode; abode,  abide) t?n t?i; kéo dài this mistake will not abide for ever  sai l?m này s? không th? kéo dài mãi du?c (  by) tôn tr?ng, gi?, tuân theo, ch?u theo; trung thành v?i to abide by one's friend  trung thành v?i b?n (t? c?,nghia c?) ?, ng? t?i to abide with somebody  ? v?i ai  ngo?i d?ng t? ch?, ch? d?i to abide one's time  ch? th?i co ch?u d?ng, ch?u we can't abide his fits of temper  chúng tôi không th? ch?u du?c nh?ng con nóng gi?n c?a h?n ch?ng d? du?c (cu?c t?n công)
abiding	abiding /?'baidi?/  tính t? (van h?c) không thay d?i, vinh c?u, t?n t?i mãi mãiabide /?'baid/  n?i d?ng t? (abode; abode,  abide) t?n t?i; kéo dài this mistake will not abide for ever  sai l?m này s? không th? kéo dài mãi du?c (  by) tôn tr?ng, gi?, tuân theo, ch?u theo; trung thành v?i to abide by one's friend  trung thành v?i b?n (t? c?,nghia c?) ?, ng? t?i to abide with somebody  ? v?i ai  ngo?i d?ng t? ch?, ch? d?i to abide one's time  ch? th?i co ch?u d?ng, ch?u we can't abide his fits of temper  chúng tôi không th? ch?u du?c nh?ng con nóng gi?n c?a h?n ch?ng d? du?c (cu?c t?n công)
abidingly	abidingly xem abiding
abience	abience danh t? s? tránh kích thích
abient	abient tính t? tránh kích thích
abies	abies danh t? (th?c v?t) cây linh sam
abietene	abietene /'æbi?ti:n/  danh t? (hoá h?c) Abietin
abigail	abigail /'æbigeil/  danh t? th? t?, n? t?
abigails	abigail /'æbigeil/  danh t? th? t?, n? t?
abilitate	abilitate /?'biliteit/  d?ng t? (t? hi?m,nghia hi?m) (nhu) habiliate
abilities	ability /?'biliti/  danh t? nang l?c, kh? nang (làm vi?c gì) (s? nhi?u) tài nang, tài cán a man of abilities  m?t ngu?i tài nang  (pháp lý) th?m quy?n (thuong nghi?p) kh? nang thanh toán du?c; v?n s?n có, ngu?n v?n (d? dáp ?ng khi c?n thi?t) to be best of one's ability  v?i tu cách kh? nang c?a mình ability kh? nang
ability	ability /?'biliti/  danh t? nang l?c, kh? nang (làm vi?c gì) (s? nhi?u) tài nang, tài cán a man of abilities  m?t ngu?i tài nang  (pháp lý) th?m quy?n (thuong nghi?p) kh? nang thanh toán du?c; v?n s?n có, ngu?n v?n (d? dáp ?ng khi c?n thi?t) to be best of one's ability  v?i tu cách kh? nang c?a mình ability kh? nang
Ability and earnings	Ability and earnings (Econ) Nang l?c và thu nh?p  Thu?c do v? kh? nang và trình d? (h?c v?n) có tuong quan ch?t ch? v?i nhau, làm tang kh? nang là ph?n l?n l?i t?c du?c u?c tính do giáo d?c trên th?c t? cung chính là l?i t?c do nang  l?c
Ability to pay	Ability to pay (Econ) Kh? nang chi tr?.
Ability to pay theory	Ability to pay theory (Econ) Lý thuy?t v? kh? nang chi tr?  M?t lý thuy?t v? cách dánh thu? theo dó gánh n?ng v? thu? nên du?c phân b? theo kh? nang chi tr?; và m?t h? th?ng thu? ki?u lu? ti?n, t? l? hay lu? thoái, tu? thu?c vào thu?c do du?c s? d?ng và d? d?c gi? d?nh c?a d? th? tho? d?ng biên c?a thu nh?p.
